Lodge Name,Official Website,LodgesOfUganda URL,Region
Bush Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/bush-lodge-queen-elizabeth,queen-elizabeth
Craters Lodge Safari Camp,,https://lodgesofuganda.com/lodges/queen-elizabeth/craters-lodge-safari-camp,queen-elizabeth
Elephant Hub Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/elephant-hub-lodge,queen-elizabeth
Elephant Plains Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/elephant-plains-lodge,queen-elizabeth
Embogo Lodges,,https://lodgesofuganda.com/lodges/queen-elizabeth/embogo-lodges,queen-elizabeth
Enganzi Game Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/enganzi-game-lodge,queen-elizabeth
Engiri Game Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/engiri-game-lodge,queen-elizabeth
Engiri Game Lodge and Campsite,,https://lodgesofuganda.com/lodges/queen-elizabeth/engiri-game-lodge-and-campsite,queen-elizabeth
Hawk's Eye Lodge,https://hawkseyelodge.co.ug,https://lodgesofuganda.com/lodges/queen-elizabeth/hawks-eye-lodge,queen-elizabeth
Hippo Hill Camp,,https://lodgesofuganda.com/lodges/queen-elizabeth/hippo-hill-camp,queen-elizabeth
Irungu Forest Safari Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/irungu-forest-safari-lodge,queen-elizabeth
Kasenyi Safari Camp,,https://lodgesofuganda.com/lodges/queen-elizabeth/kasenyi-safari-camp,queen-elizabeth
Katara Lodge,https://www.kataralodge.com,https://lodgesofuganda.com/lodges/queen-elizabeth/katara-lodge,queen-elizabeth
Kazinga Wilderness Safari Camp,,https://lodgesofuganda.com/lodges/queen-elizabeth/kazinga-wilderness-safari-camp,queen-elizabeth
Kikorongo Safari Lodge,https://kikorongosafarilodge.com,https://lodgesofuganda.com/lodges/queen-elizabeth/kikorongo-safari-lodge,queen-elizabeth
Kingfisher Lodge Kichwamba,,https://lodgesofuganda.com/lodges/queen-elizabeth/kingfisher-lodge-kichwamba,queen-elizabeth
Kyambura Gorge Eco-Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/kyambura-gorge-eco-lodge,queen-elizabeth
Kyambura Gorge Lodge,https://www.volcanoessafaris.com/kyambura-gorge-lodge/,https://lodgesofuganda.com/lodges/queen-elizabeth/kyambura-gorge-lodge,queen-elizabeth
Lake Munyanyange Caves Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/lake-munyanyange-caves-lodge,queen-elizabeth
Marafiki Safari Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/marafiki-safari-lodge,queen-elizabeth
Mweya Safari Lodge,https://www.mweyalodge.com,https://lodgesofuganda.com/lodges/queen-elizabeth/mweya-safari-lodge,queen-elizabeth
Parkview Safari Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/parkview-safari-lodge-qe,queen-elizabeth
Pumba Safari Cottages,,https://lodgesofuganda.com/lodges/queen-elizabeth/pumba-safari-cottages,queen-elizabeth
Queen Elizabeth Bush Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/queen-elizabeth-bush-lodge,queen-elizabeth
Queen Elizabeth Park View Tourist Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/queen-elizabeth-park-view-tourist-lodge,queen-elizabeth
Simba Safari Camp,,https://lodgesofuganda.com/lodges/queen-elizabeth/simba-safari-camp,queen-elizabeth
Tembo Safari Lodge,,https://lodgesofuganda.com/lodges/queen-elizabeth/tembo-safari-lodge,queen-elizabeth
Lacam Lodge,,https://lodgesofuganda.com/lodges/sipi-falls/lacam-lodge,sipi-falls
Mount Elgon Hotel & Spa,https://www.mtelgonhotelandspa.com,https://lodgesofuganda.com/lodges/sipi-falls/mount-elgon-hotel-and-spa,sipi-falls
Sipi Falls Resort,,https://lodgesofuganda.com/lodges/sipi-falls/sipi-falls-resort,sipi-falls
Sipi River Lodge,https://www.sipiriverlodge.com,https://lodgesofuganda.com/lodges/sipi-falls/sipi-river-lodge,sipi-falls
Brovad Sands Lodge,https://brovadsandslodge.com,https://lodgesofuganda.com/lodges/ssese-islands/brovad-sands-lodge,ssese-islands
Bwema Island Resort,,https://lodgesofuganda.com/lodges/ssese-islands/bwema-island-resort,ssese-islands
Kalangala Pearl Resort,,https://lodgesofuganda.com/lodges/ssese-islands/kalangala-pearl-resort,ssese-islands
Ngamba Island Chimpanzee Lodge,https://chimpanzeetrust.org,https://lodgesofuganda.com/lodges/ssese-islands/ngamba-island-chimpanzee-lodge,ssese-islands
Pineapple Bay Resort,https://pineapplebayresort.com,https://lodgesofuganda.com/lodges/ssese-islands/pineapple-bay-resort,ssese-islands
Ssese Islands Beach Hotel,https://sseseislandsbeachhotel.com,https://lodgesofuganda.com/lodges/ssese-islands/ssese-islands-beach-hotel,ssese-islands
Sundiata Beach Resort,,https://lodgesofuganda.com/lodges/ssese-islands/sundiata-beach-resort,ssese-islands
Amuka Safari Lodge (Ziwa),,https://lodgesofuganda.com/lodges/ziwa-rhino/amuka-safari-lodge-ziwa,ziwa-rhino
